timestamp,gpu_util_pct,mem_used_mib,power_w,temp_c
2026/04/25 11:16:42.275, 96, [N/A], 54.53, 67
2026/04/25 11:16:47.333, 96, [N/A], 57.83, 75
2026/04/25 11:16:52.391, 96, [N/A], 58.46, 74
2026/04/25 11:16:57.445, 96, [N/A], 60.19, 75
2026/04/25 11:17:02.490, 96, [N/A], 62.05, 72
2026/04/25 11:17:07.554, 96, [N/A], 59.30, 73
2026/04/25 11:17:12.619, 96, [N/A], 58.48, 72
2026/04/25 11:17:17.736, 96, [N/A], 60.06, 73
2026/04/25 11:17:22.772, 96, [N/A], 55.06, 68
2026/04/25 11:17:27.845, 96, [N/A], 57.39, 76
2026/04/25 11:17:32.932, 96, [N/A], 57.99, 76
2026/04/25 11:17:37.992, 96, [N/A], 60.63, 76
2026/04/25 11:17:43.044, 96, [N/A], 62.62, 70
2026/04/25 11:17:48.111, 96, [N/A], 60.77, 73
2026/04/25 11:17:53.217, 18, [N/A], 30.84, 65
2026/04/25 11:17:58.258, 96, [N/A], 54.55, 73
2026/04/25 11:18:03.344, 96, [N/A], 57.32, 70
2026/04/25 11:18:08.439, 96, [N/A], 54.81, 71
2026/04/25 11:18:13.469, 96, [N/A], 54.91, 71
2026/04/25 11:18:18.510, 96, [N/A], 53.09, 71
2026/04/25 11:18:23.572, 96, [N/A], 51.99, 70
2026/04/25 11:18:28.632, 96, [N/A], 57.47, 71
2026/04/25 11:18:33.707, 96, [N/A], 54.32, 71
2026/04/25 11:18:38.754, 96, [N/A], 54.57, 71
2026/04/25 11:18:43.813, 96, [N/A], 53.05, 71
2026/04/25 11:18:48.874, 96, [N/A], 55.89, 71
2026/04/25 11:18:53.915, 96, [N/A], 56.00, 71
2026/04/25 11:18:58.991, 96, [N/A], 56.86, 71
2026/04/25 11:19:04.072, 96, [N/A], 53.83, 72
2026/04/25 11:19:09.131, 96, [N/A], 52.58, 71
2026/04/25 11:19:14.191, 96, [N/A], 55.92, 71
2026/04/25 11:19:19.270, 3, [N/A], 30.33, 64
2026/04/25 11:19:24.332, 96, [N/A], 58.69, 73
2026/04/25 11:19:29.396, 96, [N/A], 60.84, 72
2026/04/25 11:19:34.453, 96, [N/A], 61.73, 71
2026/04/25 11:19:39.510, 96, [N/A], 61.65, 73
2026/04/25 11:19:44.571, 96, [N/A], 53.73, 71
2026/04/25 11:19:49.633, 96, [N/A], 55.96, 72
2026/04/25 11:19:54.684, 96, [N/A], 58.98, 73
2026/04/25 11:19:59.750, 96, [N/A], 58.15, 72
2026/04/25 11:20:04.814, 96, [N/A], 62.31, 71
2026/04/25 11:20:09.891, 96, [N/A], 60.16, 71
2026/04/25 11:20:14.951, 96, [N/A], 61.71, 70
2026/04/25 11:20:20.010, 96, [N/A], 57.56, 74
2026/04/25 11:20:25.073, 96, [N/A], 59.33, 73
2026/04/25 11:20:30.117, 96, [N/A], 56.03, 74
2026/04/25 11:20:35.163, 96, [N/A], 58.88, 75
2026/04/25 11:20:40.229, 96, [N/A], 54.83, 72
2026/04/25 11:20:45.288, 96, [N/A], 57.76, 74
2026/04/25 11:20:50.339, 96, [N/A], 53.19, 71
2026/04/25 11:20:55.410, 96, [N/A], 53.59, 68
2026/04/25 11:21:00.464, 96, [N/A], 55.56, 68
2026/04/25 11:21:05.500, 95, [N/A], 43.41, 70
2026/04/25 11:21:10.536, 96, [N/A], 57.35, 72
2026/04/25 11:21:15.589, 96, [N/A], 55.33, 73
2026/04/25 11:21:20.641, 96, [N/A], 58.46, 73
2026/04/25 11:21:25.721, 96, [N/A], 56.43, 70
